img_index,date,agri_year,phenology,cloud_tile_pct,cloud_roi_pct,satellite,parcel_id,group,NDVI,EVI,NDRE,NDWI,SAVI,CIre,GNDVI,MTCI
20171213T144719_20171213T145508_T19KCV,2017-12-13,2018,Cuajado,0.03,0.0,Sentinel-2B,A-1,A,0.28986,0.241551,0.217563,-0.390033,0.223889,0.458697,0.390033,1.822357
20171213T144719_20171213T145508_T19KCV,2017-12-13,2018,Cuajado,0.03,0.0,Sentinel-2B,A-2,A,0.297692,0.246033,0.222804,-0.402467,0.230284,0.467433,0.402467,1.73814
20171213T144719_20171213T145508_T19KCV,2017-12-13,2018,Cuajado,0.03,0.0,Sentinel-2B,A-3,A,0.329539,0.270353,0.250089,-0.427387,0.252812,0.556486,0.427387,1.932937
20171213T144719_20171213T145508_T19KCV,2017-12-13,2018,Cuajado,0.03,0.0,Sentinel-2B,A-4,A,0.319081,0.262316,0.239886,-0.423081,0.247042,0.512583,0.423081,1.781177
20171213T144719_20171213T145508_T19KCV,2017-12-13,2018,Cuajado,0.03,0.0,Sentinel-2B,B-5,B,0.341528,0.276052,0.262444,-0.436969,0.258037,0.596542,0.436969,2.125983
20171213T144719_20171213T145508_T19KCV,2017-12-13,2018,Cuajado,0.03,0.0,Sentinel-2B,B-6,B,0.355543,0.289095,0.272291,-0.449653,0.269264,0.625855,0.449653,2.097132
20171213T144719_20171213T145508_T19KCV,2017-12-13,2018,Cuajado,0.03,0.0,Sentinel-2B,B-7,B,0.377035,0.298428,0.288036,-0.467092,0.281429,0.678425,0.467092,2.14066
20171213T144719_20171213T145508_T19KCV,2017-12-13,2018,Cuajado,0.03,0.0,Sentinel-2B,B-8,B,0.359316,0.285566,0.275827,-0.458232,0.269364,0.625433,0.458232,2.069477
20171213T144719_20171213T145508_T19KCV,2017-12-13,2018,Cuajado,0.03,0.0,Sentinel-2B,C-9,C,0.377191,0.301712,0.29126,-0.4673,0.283289,0.68796,0.4673,2.245244
20171213T144719_20171213T145508_T19KCV,2017-12-13,2018,Cuajado,0.03,0.0,Sentinel-2B,C-10,C,0.356569,0.289257,0.271544,-0.453,0.271516,0.619231,0.453,2.073048
20171213T144719_20171213T145508_T19KCV,2017-12-13,2018,Cuajado,0.03,0.0,Sentinel-2B,C-11,C,0.381826,0.303615,0.290578,-0.470067,0.28371,0.695842,0.470067,1.963644
20180221T144729_20180221T145049_T19KCV,2018-02-21,2018,Crec.Fruto,0.05,0.0,Sentinel-2B,A-1,A,0.28463,0.22616,0.208066,-0.387977,0.214225,0.429413,0.387977,1.445336
20180221T144729_20180221T145049_T19KCV,2018-02-21,2018,Crec.Fruto,0.05,0.0,Sentinel-2B,A-2,A,0.29235,0.228818,0.21479,-0.401377,0.218728,0.44638,0.401377,1.458643
20180221T144729_20180221T145049_T19KCV,2018-02-21,2018,Crec.Fruto,0.05,0.0,Sentinel-2B,A-3,A,0.314538,0.244088,0.234241,-0.423468,0.234829,0.492312,0.423468,1.588098
20180221T144729_20180221T145049_T19KCV,2018-02-21,2018,Crec.Fruto,0.05,0.0,Sentinel-2B,A-4,A,0.292953,0.229866,0.21748,-0.411731,0.222705,0.443119,0.411731,1.463972
20180221T144729_20180221T145049_T19KCV,2018-02-21,2018,Crec.Fruto,0.05,0.0,Sentinel-2B,B-5,B,0.34632,0.265944,0.263663,-0.442661,0.252553,0.601372,0.442661,1.955643
20180221T144729_20180221T145049_T19KCV,2018-02-21,2018,Crec.Fruto,0.05,0.0,Sentinel-2B,B-6,B,0.352507,0.270524,0.27093,-0.451127,0.256831,0.621372,0.451127,1.952029
20180221T144729_20180221T145049_T19KCV,2018-02-21,2018,Crec.Fruto,0.05,0.0,Sentinel-2B,B-7,B,0.370239,0.277908,0.281323,-0.472283,0.268268,0.650976,0.472283,1.9773
20180221T144729_20180221T145049_T19KCV,2018-02-21,2018,Crec.Fruto,0.05,0.0,Sentinel-2B,B-8,B,0.359963,0.271818,0.275868,-0.463004,0.260247,0.627074,0.463004,1.923518
20180221T144729_20180221T145049_T19KCV,2018-02-21,2018,Crec.Fruto,0.05,0.0,Sentinel-2B,C-9,C,0.365675,0.27622,0.277056,-0.464266,0.265113,0.635853,0.464266,1.912697
20180221T144729_20180221T145049_T19KCV,2018-02-21,2018,Crec.Fruto,0.05,0.0,Sentinel-2B,C-10,C,0.359208,0.274756,0.272809,-0.460728,0.262556,0.623156,0.460728,1.946359
20180221T144729_20180221T145049_T19KCV,2018-02-21,2018,Crec.Fruto,0.05,0.0,Sentinel-2B,C-11,C,0.382362,0.287669,0.291975,-0.47368,0.273489,0.698789,0.47368,2.16706
20180402T144729_20180402T144832_T19KCV,2018-04-02,2018,Envero,0.09,0.0,Sentinel-2B,A-1,A,0.302262,0.234321,0.219543,-0.414338,0.224681,0.448982,0.414338,1.568435
20180402T144729_20180402T144832_T19KCV,2018-04-02,2018,Envero,0.09,0.0,Sentinel-2B,A-2,A,0.312404,0.237832,0.227858,-0.428423,0.229953,0.468814,0.428423,1.552944
20180402T144729_20180402T144832_T19KCV,2018-04-02,2018,Envero,0.09,0.0,Sentinel-2B,A-3,A,0.326221,0.248381,0.239816,-0.442707,0.241699,0.501342,0.442707,1.823354
20180402T144729_20180402T144832_T19KCV,2018-04-02,2018,Envero,0.09,0.0,Sentinel-2B,A-4,A,0.310563,0.23758,0.228495,-0.435761,0.232772,0.465831,0.435761,1.843155
20180402T144729_20180402T144832_T19KCV,2018-04-02,2018,Envero,0.09,0.0,Sentinel-2B,B-5,B,0.365818,0.27238,0.276433,-0.467468,0.261611,0.630376,0.467468,1.991515
20180402T144729_20180402T144832_T19KCV,2018-04-02,2018,Envero,0.09,0.0,Sentinel-2B,B-6,B,0.373815,0.278143,0.284852,-0.47563,0.26681,0.660927,0.47563,2.056693
20180402T144729_20180402T144832_T19KCV,2018-04-02,2018,Envero,0.09,0.0,Sentinel-2B,B-7,B,0.359816,0.264793,0.273789,-0.477995,0.259479,0.60978,0.477995,2.061424
20180402T144729_20180402T144832_T19KCV,2018-04-02,2018,Envero,0.09,0.0,Sentinel-2B,B-8,B,0.369603,0.268682,0.283678,-0.481412,0.261237,0.641521,0.481412,2.000708
20180402T144729_20180402T144832_T19KCV,2018-04-02,2018,Envero,0.09,0.0,Sentinel-2B,C-9,C,0.365053,0.266655,0.277512,-0.478549,0.260286,0.626308,0.478549,0.038075
20180402T144729_20180402T144832_T19KCV,2018-04-02,2018,Envero,0.09,0.0,Sentinel-2B,C-10,C,0.371173,0.272914,0.280349,-0.479184,0.264231,0.636295,0.479184,2.266659
20180402T144729_20180402T144832_T19KCV,2018-04-02,2018,Envero,0.09,0.0,Sentinel-2B,C-11,C,0.400111,0.289734,0.303112,-0.497042,0.278361,0.726814,0.497042,2.127131
20181218T144729_20181218T144725_T19KCV,2018-12-18,2019,Cuajado,6.85,0.0,Sentinel-2B,A-1,A,0.276113,0.230721,0.216013,-0.371088,0.213733,0.456942,0.371088,1.810422
20181218T144729_20181218T144725_T19KCV,2018-12-18,2019,Cuajado,6.85,0.0,Sentinel-2B,A-2,A,0.263134,0.217987,0.207462,-0.364965,0.203972,0.430388,0.364965,1.753093
20181218T144729_20181218T144725_T19KCV,2018-12-18,2019,Cuajado,6.85,0.0,Sentinel-2B,A-3,A,0.320271,0.26112,0.254594,-0.417949,0.244713,0.551391,0.417949,1.892825
20181218T144729_20181218T144725_T19KCV,2018-12-18,2019,Cuajado,6.85,0.0,Sentinel-2B,A-4,A,0.293392,0.240968,0.232374,-0.398609,0.227378,0.487109,0.398609,1.712492
20181218T144729_20181218T144725_T19KCV,2018-12-18,2019,Cuajado,6.85,0.0,Sentinel-2B,B-5,B,0.318665,0.258134,0.252633,-0.40834,0.239852,0.560217,0.40834,0.552445
20181218T144729_20181218T144725_T19KCV,2018-12-18,2019,Cuajado,6.85,0.0,Sentinel-2B,B-6,B,0.317867,0.260767,0.250635,-0.407782,0.241468,0.553246,0.407782,1.908858
20181218T144729_20181218T144725_T19KCV,2018-12-18,2019,Cuajado,6.85,0.0,Sentinel-2B,B-7,B,0.342688,0.271185,0.272574,-0.434552,0.254817,0.613358,0.434552,2.026352
